casenew,weighta,P550tpr,P344pr,P425r,A172,A093r,A094r,A121r,SexHRP,A049r,G018r,G019r,Gorx,weightar
14999,2.834723603,380.6957624,465.36,Earned income,Yes,Economically inactive,Routine and manual occupations,Public rented,Female,4 person,2 adults,Two or more children,East Midlands,0.543248233
14993,10.07794727,546.4134028,855.26,Earned income,Yes,Full-time working,"Never worked and long term unemployed, students and occupation not stated",Owned,Female,2 person,2 adults,No children,London,1.931344219
14993,4.08867648,242.1890228,160.96,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,South East,0.783556559
14984,4.571759711,421.3823532,656.22,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Eastern,0.876134936
14981,7.349617297,370.4055774,398.8,Earned income,Yes,Full-time working,"Never worked and long term unemployed, students and occupation not stated",Owned,Male,1 person,1 adult,No children,South East,1.408485329
14976,5.046701377,172.3971636,321.02,Earned income,No,Full-time working,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,Scotland,0.967153059
14975,2.77595708,202.425,350.834,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Northern Ireland,0.531986179
14972,11.88265309,730.6580399,1184.99,Earned income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,5 person or more,4 and more adults,No children,South East,2.27719919
14971,6.068373146,361.9309651,619.57,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Wales,1.162946886
14970,5.090614981,659.9116889,1117.8415,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.97556869
14964,7.154788025,338.707135,375.8,Other income,Yes,Part-time working,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,West Midlands,1.371148124
14960,5.839691124,238.2146402,819.4675,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,Wales,1.119122118
14959,4.044080978,507.4931407,687.9345,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,0.775010249
14954,4.705602763,92.62071369,209.85,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,Yorkshire and the Humber,0.901784704
14946,4.254093853,593.8101611,841.11,Earned income,No,Economically inactive,Not classified for other reasons,Owned,Male,3 person,3 adults,No children,West Midlands,0.815257249
14944,4.026040103,583.5376358,534.7007692,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,3 person,2 adults,One child,South West,0.771552884
14943,9.831029599,371.2169917,510.28,Earned income,No,Part-time working,Intermediate occupations,Public rented,Female,3 person,2 adults,One child,Scotland,1.88402476
14934,4.887583074,420.3176698,701.6,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,1 person,1 adult,No children,West Midlands,0.936659526
14933,2.956143792,252.03,332.465,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Private rented,Female,3 person,1 adult,Two or more children,Eastern,0.566517275
14926,7.496550428,675.0049683,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,3 adults,No children,South West,1.436643688
14925,3.820738494,675.4985776,521.042,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,Eastern,0.732208753
14917,7.126698351,359.1158203,104.85,Other income,No,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Female,2 person,2 adults,No children,Eastern,1.365765001
14915,5.372027872,350.9017929,585.67,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,South East,1.029498835
14913,5.196961032,1175,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,2 adults,One child,West Midlands,0.995948915
14913,6.234473632,162.2021552,169.942,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Scotland,1.194778489
